OTU_ID	2R	19R	26R	31R	42R	51R	62R	68R	71R	81R	84R
263018	0	0	0	0	0	0	0	0	0	0	2
266657	0	0	1	0	0	0	0	0	0	0	1
270881	0	0	2	0	0	0	0	0	0	0	0
273821	0	0	0	0	0	0	0	0	0	0	2
276629	0	0	3	0	0	0	0	0	0	0	0
309045	0	0	2	0	0	0	0	0	0	0	0
309294	0	0	0	0	0	0	0	0	0	0	2
327287	0	0	0	0	0	0	0	0	0	0	2
328968	0	1	1	0	0	0	0	0	0	0	1
361974	0	0	1	0	0	0	1	0	0	0	0
362545	0	0	5	0	0	0	1	0	0	0	6
369030	0	0	2	0	0	0	0	0	0	0	0
373767	0	0	0	0	0	2	0	0	0	0	0
376939	0	0	1	0	0	0	0	0	0	0	1
384507	0	0	1	0	0	0	1	0	0	0	3
401736	0	0	1	0	0	0	0	0	0	0	1
407118	0	0	1	0	0	0	0	0	0	0	1
421206	0	0	1	0	0	0	0	0	0	0	1
432705	0	0	0	0	0	0	0	0	0	0	2
443536	0	0	0	0	0	1	0	0	0	0	1
446703	0	0	2	0	0	0	0	0	0	0	1
451772	0	0	3	0	0	0	0	0	0	0	5
452271	0	0	1	0	0	0	0	0	0	0	1
454455	0	0	1	0	0	0	0	0	0	0	1
63623	0	0	0	0	0	0	0	3	0	0	1
63796	0	0	0	0	0	1	0	1	0	0	2
115951	0	0	0	0	0	0	0	1	0	0	1
117106	0	0	0	1	0	1	0	1	0	0	0
120973	0	0	0	0	0	1	0	0	0	0	1
147266	0	0	0	0	0	1	0	0	0	0	1
170710	0	0	0	0	0	1	0	1	0	0	0
217774	0	0	0	0	0	1	0	1	0	0	0
301258	0	0	0	0	1	1	0	0	0	0	2
356324	0	0	0	0	0	2	0	0	0	0	0
403491	0	0	0	0	0	0	0	1	0	0	1
406456	0	0	0	0	0	1	0	1	0	0	0
409418	0	0	0	0	0	1	0	1	0	0	0
413398	0	0	0	0	0	0	0	3	0	0	0
415771	0	0	0	0	0	2	0	0	0	0	0
451768	0	0	0	0	0	1	2	0	0	0	1
453597	0	0	0	0	0	1	0	0	0	0	1
39668	0	0	0	0	0	0	0	2	0	0	0
102034	0	0	0	0	0	0	0	2	0	0	1
163983	0	0	0	0	0	0	0	0	0	0	2
313438	0	0	0	0	0	1	0	1	0	0	0
414805	0	0	0	0	0	1	0	1	0	0	0
6688	0	0	0	0	0	0	0	2	0	0	0
9653	0	0	0	0	0	0	0	2	0	0	0
13315	0	0	0	0	0	0	0	2	0	0	0
13514	0	0	0	0	0	0	0	2	0	0	0
15350	0	0	0	0	0	0	0	2	0	0	0
15614	0	0	0	0	0	0	0	2	0	0	0
21238	0	0	0	0	0	0	0	17	0	0	0
51678	0	0	0	0	0	0	0	2	0	0	0
53246	0	0	0	0	0	0	0	27	0	0	0
56616	0	0	0	0	0	0	0	3	0	0	0
58974	0	0	0	0	0	0	0	5	0	0	0
80985	0	0	0	0	0	0	0	3	0	0	0
113835	0	0	0	0	0	0	0	4	0	0	0
117715	0	0	0	0	0	0	0	3	0	0	0
133596	0	0	0	0	0	0	0	2	0	0	0
146470	0	0	0	0	0	0	0	12	0	0	0
147047	0	0	0	0	0	0	0	2	0	0	0
148237	0	0	0	0	0	0	0	16	0	0	0
150947	0	0	0	0	0	0	0	2	0	0	0
172542	0	0	0	0	0	0	0	7	0	0	0
175379	0	0	0	0	0	0	0	3	0	0	0
225297	0	0	0	0	0	0	0	2	0	0	0
226545	0	0	0	0	0	0	0	3	0	0	0
230892	0	0	0	0	0	0	0	2	0	0	0
234049	0	0	0	0	0	0	0	3	0	0	0
240027	0	0	0	0	0	0	0	4	0	0	0
256645	0	0	0	0	0	0	0	4	0	0	0
273190	0	0	0	0	0	0	0	10	0	0	0
282103	0	0	0	0	0	0	0	79	0	0	0
282650	0	0	0	0	0	0	0	2	0	0	0
