	X071017.C1D2	X071017.C2D1	X071017.C2D3	X071817.C1D2	X071817.C2D1	X072617.C1D1	X072617.C1D2	X072617.C1D3	X072617.C2D1	X072617.C2D2	X080317.C1D1	X080317.C1D2	X080317.C1D3	X080317.C2D1	X081817.C1D1	X081817.C1D2	X081817.C1D3	X081817.C2D1	X082417.C1D1	X082417.C1D2	X082417.C1D3	X082417.C2D1	X083017.C1D1	X083017.C1D2	X083017.C1D3	X083017.C2D1
Eukaryota; Alveolata; Dinoflagellata; Dinophyceae; Gonyaulacales; Gonyaulacaceae; Gonyaulax; Gonyaulax_cochlea	0	0	0	0.003709815	0	0	0.010577882	0.00427171	0	0	0	0	0.00496671	0	0	0.005985556	0.005518465	0	0.006130702	0	0	0	0	0	0	0
Eukaryota; Alveolata; Dinoflagellata; Dinophyceae; Gonyaulacales; Gonyaulacaceae; Gonyaulax; Gonyaulax_spinifera	0	0.110511325	0.003960249	0.010492943	0.005267026	0	0	0	0	0	0.022452206	0.073428324	0.053608271	0.026607941	0.051510558	0.087969353	0	0.04679412	0.033579238	0.063613026	0.033168572	0.003068004	0	0	0	0.041419364
Eukaryota; Alveolata; Dinoflagellata; Dinophyceae; Gonyaulacales; Gonyaulacaceae; Lingulodinium; Lingulodinium_polyedra	0	0	0	0.020319496	0.052140894	0	0.003525961	0	0	0	0	0	0	0.007111271	0	0	0.027034845	0	0	0.02844861	0	0.014390216	0	0.019038438	0	0
Eukaryota; Alveolata; Dinoflagellata; Dinophyceae; Gymnodiniales; Gymnodiniaceae; Akashiwo; Akashiwo_sanguinea	0	0	0	0.003709815	0	0	0	0	0	0	0	0	0	0.005028428	0	0	0.003902144	0	0	0	0	0	0.004327606	0.008118017	0.005436924	0.008271158
Eukaryota; Alveolata; Dinoflagellata; Dinophyceae; Gymnodiniales; Gymnodiniaceae; Gymnodinium; Gymnodinium_dorsalisulcum	0	0.006168141	0	0.011731466	0	0.008727497	0.009328815	0	0.012829038	0.003372629	0	0	0.003511995	0	0.007419467	0	0	0.012506255	0.004748821	0.00899624	0.008015147	0	0.006120158	0.009076219	0.007688972	0.010759844
Eukaryota; Alveolata; Dinoflagellata; Dinophyceae; Gymnodiniales; Gymnodiniaceae; Gymnodinium; Gymnodinium_smaydae	0.009510771	0	0	0.006425589	0.005267026	0.005038823	0.004986461	0	0.0086853	0.004769617	0	0	0	0.005028428	0	0	0	0.003229101	0	0.006361303	0.002833782	0	0.005300213	0.007030409	0.007019039	0.005129554
Eukaryota; Alveolata; Dinoflagellata; Dinophyceae; Gymnodiniales; Gymnodiniaceae; Gymnodinium; Gymnodinium_sp.	0	0	0	0	0	0	0.009972923	0	0.003703424	0.003372629	0	0.007718614	0	0	0.003318087	0	0.005518465	0.006458202	0	0	0	0	0.008655211	0	0.00313901	0.002294006
Eukaryota; Alveolata; Dinoflagellata; Dinophyceae; Gymnodiniales; Gymnodiniaceae; Gyrodinium; Gyrodinium_dominans	0.629635295	0.581377936	0.333461391	0.101529726	0.179156313	0.14054612	0.170453853	0.176799274	0.16297171	0.144354805	0.05110932	0.272511898	0.206223176	0.121100586	0.389772811	0.541188304	0.230919887	0.273350606	0.668184646	0.491428636	0.452412268	0.653405698	0.221237592	0.310162438	0.379469788	0.25584086
Eukaryota; Alveolata; Dinoflagellata; Dinophyceae; Gymnodiniales; Gymnodiniaceae; Gyrodinium; Gyrodinium_fusiforme	0.043842487	0.016319366	0.029899221	0.018549077	0.025259768	0.020775597	0.025910414	0.017086841	0.033942444	0.030353657	0.033164106	0.021831537	0.029592593	0.027997103	0.014463205	0.013384111	0.018714024	0.015486225	0.013148891	0.00899624	0.01900959	0.006136009	0.014023045	0.019038438	0.010873848	0.014866861
Eukaryota; Alveolata; Dinoflagellata; Dinophyceae; Gymnodiniales; Gymnodiniaceae; Gyrodinium; Gyrodinium_rubrum	0	0	0	0	0.005267026	0	0.003525961	0.00427171	0.002618716	0	0	0.005457884	0.007023989	0.008709493	0	0.005985556	0.007804288	0.003229101	0.006130702	0.00899624	0.007497483	0.005313939	0	0	0.005436924	0.003973336
