"cluster"	"neighbor"	"dist"	"otu_id"	"Taxonomy"	"Level1"	"Level2"	"Level3"	"Level4"	"Level5"	"Level6"	"Level7"
"64"	1	5	0.886777761587559	"148"	"Eukaryota;Alveolata;Dinoflagellata;Dinophyceae;Gonyaulacales;Goniodomataceae;__;__;__"	"Eukaryota"	"Alveolata"	"Dinoflagellata"	"Dinophyceae"	"Gonyaulacales"	"Goniodomataceae"	"__"
"65"	1	5	0.886777761587559	"149"	"Eukaryota;Alveolata;Dinoflagellata;Dinophyceae;Gonyaulacales;Gonyaulacaceae;Amylax;Amylax_buxus;"	"Eukaryota"	"Alveolata"	"Dinoflagellata"	"Dinophyceae"	"Gonyaulacales"	"Gonyaulacaceae"	"Amylax"
"66"	1	5	0.886777761587559	"150"	"Eukaryota;Alveolata;Dinoflagellata;Dinophyceae;Gonyaulacales;Gonyaulacaceae;Amylax;Amylax_triacantha;"	"Eukaryota"	"Alveolata"	"Dinoflagellata"	"Dinophyceae"	"Gonyaulacales"	"Gonyaulacaceae"	"Amylax"
"67"	1	5	0.886777761587559	"154"	"Eukaryota;Alveolata;Dinoflagellata;Dinophyceae;Gonyaulacales;Gonyaulacaceae;Gonyaulax;Gonyaulax_sp.;"	"Eukaryota"	"Alveolata"	"Dinoflagellata"	"Dinophyceae"	"Gonyaulacales"	"Gonyaulacaceae"	"Gonyaulax"
"68"	1	5	0.886777761587559	"160"	"Eukaryota;Alveolata;Dinoflagellata;Dinophyceae;Gonyaulacales;Pyrophacaceae;__;__;__"	"Eukaryota"	"Alveolata"	"Dinoflagellata"	"Dinophyceae"	"Gonyaulacales"	"Pyrophacaceae"	"__"
"69"	1	5	0.886777761587559	"161"	"Eukaryota;Alveolata;Dinoflagellata;Dinophyceae;Gonyaulacales;__;__;__;__"	"Eukaryota"	"Alveolata"	"Dinoflagellata"	"Dinophyceae"	"Gonyaulacales"	"__"	"__"
"70"	1	5	0.886777761587559	"163"	"Eukaryota;Alveolata;Dinoflagellata;Dinophyceae;Gymnodiniales;Gymnodiniaceae;Amphidinium;Amphidinium_carterae;"	"Eukaryota"	"Alveolata"	"Dinoflagellata"	"Dinophyceae"	"Gymnodiniales"	"Gymnodiniaceae"	"Amphidinium"
"71"	1	5	0.886777761587559	"164"	"Eukaryota;Alveolata;Dinoflagellata;Dinophyceae;Gymnodiniales;Gymnodiniaceae;Amphidinium;Amphidinium_longum;"	"Eukaryota"	"Alveolata"	"Dinoflagellata"	"Dinophyceae"	"Gymnodiniales"	"Gymnodiniaceae"	"Amphidinium"
"72"	1	5	0.886777761587559	"166"	"Eukaryota;Alveolata;Dinoflagellata;Dinophyceae;Gymnodiniales;Gymnodiniaceae;Gymnodinium;Gymnodinium_aureolum;"	"Eukaryota"	"Alveolata"	"Dinoflagellata"	"Dinophyceae"	"Gymnodiniales"	"Gymnodiniaceae"	"Gymnodinium"
"73"	1	5	0.886777761587559	"167"	"Eukaryota;Alveolata;Dinoflagellata;Dinophyceae;Gymnodiniales;Gymnodiniaceae;Gymnodinium;Gymnodinium_dorsalisulcum;"	"Eukaryota"	"Alveolata"	"Dinoflagellata"	"Dinophyceae"	"Gymnodiniales"	"Gymnodiniaceae"	"Gymnodinium"
"74"	1	5	0.886777761587559	"169"	"Eukaryota;Alveolata;Dinoflagellata;Dinophyceae;Gymnodiniales;Gymnodiniaceae;Gymnodinium;Gymnodinium_smaydae;"	"Eukaryota"	"Alveolata"	"Dinoflagellata"	"Dinophyceae"	"Gymnodiniales"	"Gymnodiniaceae"	"Gymnodinium"
"75"	1	5	0.886777761587559	"174"	"Eukaryota;Alveolata;Dinoflagellata;Dinophyceae;Gymnodiniales;Gymnodiniaceae;Moestrupia;Moestrupia_oblonga;"	"Eukaryota"	"Alveolata"	"Dinoflagellata"	"Dinophyceae"	"Gymnodiniales"	"Gymnodiniaceae"	"Moestrupia"
"76"	1	5	0.886777761587559	"176"	"Eukaryota;Alveolata;Dinoflagellata;Dinophyceae;Gymnodiniales;Gymnodiniaceae;Polykrikos;Polykrikos_kofoidii;"	"Eukaryota"	"Alveolata"	"Dinoflagellata"	"Dinophyceae"	"Gymnodiniales"	"Gymnodiniaceae"	"Polykrikos"
"77"	1	5	0.886777761587559	"177"	"Eukaryota;Alveolata;Dinoflagellata;Dinophyceae;Gymnodiniales;Gymnodiniaceae;Polykrikos;Polykrikos_schwartzii;"	"Eukaryota"	"Alveolata"	"Dinoflagellata"	"Dinophyceae"	"Gymnodiniales"	"Gymnodiniaceae"	"Polykrikos"
"78"	1	5	0.886777761587559	"185"	"Eukaryota;Alveolata;Dinoflagellata;Dinophyceae;Peridiniales;Amphidiniopsidaceae;Archaeperidinium;Archaeperidinium_minutum;"	"Eukaryota"	"Alveolata"	"Dinoflagellata"	"Dinophyceae"	"Peridiniales"	"Amphidiniopsidaceae"	"Archaeperidinium"
"79"	1	5	0.886777761587559	"188"	"Eukaryota;Alveolata;Dinoflagellata;Dinophyceae;Peridiniales;Diplopsalidaceae;Diplopsalis;Diplopsalis_lenticula;"	"Eukaryota"	"Alveolata"	"Dinoflagellata"	"Dinophyceae"	"Peridiniales"	"Diplopsalidaceae"	"Diplopsalis"
"80"	1	5	0.886777761587559	"195"	"Eukaryota;Alveolata;Dinoflagellata;Dinophyceae;Peridiniales;Protoperidiniaceae;Protoperidinium;__;__"	"Eukaryota"	"Alveolata"	"Dinoflagellata"	"Dinophyceae"	"Peridiniales"	"Protoperidiniaceae"	"Protoperidinium"
"81"	1	5	0.886777761587559	"197"	"Eukaryota;Alveolata;Dinoflagellata;Dinophyceae;Peridiniales;Thoracosphaeraceae;Naiadinium;Naiadinium_polonicum;"	"Eukaryota"	"Alveolata"	"Dinoflagellata"	"Dinophyceae"	"Peridiniales"	"Thoracosphaeraceae"	"Naiadinium"
"82"	1	5	0.886777761587559	"204"	"Eukaryota;Alveolata;Dinoflagellata;Dinophyceae;Peridiniales;__;__;__;__"	"Eukaryota"	"Alveolata"	"Dinoflagellata"	"Dinophyceae"	"Peridiniales"	"__"	"__"
"83"	1	5	0.886777761587559	"206"	"Eukaryota;Alveolata;Dinoflagellata;Dinophyceae;Prorocentrales;Prorocentraceae;Prorocentrum;Prorocentrum_fukuyoi;"	"Eukaryota"	"Alveolata"	"Dinoflagellata"	"Dinophyceae"	"Prorocentrales"	"Prorocentraceae"	"Prorocentrum"
"84"	1	5	0.886777761587559	"216"	"Eukaryota;Alveolata;Dinoflagellata;Dinophyceae;Torodiniales;Torodiniaceae;Kapelodinium;Kapelodinium_vestifici;"	"Eukaryota"	"Alveolata"	"Dinoflagellata"	"Dinophyceae"	"Torodiniales"	"Torodiniaceae"	"Kapelodinium"
"85"	1	5	0.886777761587559	"220"	"Eukaryota;Alveolata;Dinoflagellata;Syndiniales;Dino-Group-I;Dino-Group-I-Clade-1;Dino-Group-I-Clade-1_X;Dino-Group-I-Clade-1_X_sp.;"	"Eukaryota"	"Alveolata"	"Dinoflagellata"	"Syndiniales"	"Dino-Group-I"	"Dino-Group-I-Clade-1"	"Dino-Group-I-Clade-1_X"
