	bio_1	bio_2	bio_3	bio_4	bio_5	bio_6	bio_7	bio_8
375	8.7	11.2	35	0.34792908	840.643.114	0.31871464	368.415.534	2.655
376	27	17.5	34					2.856
377								2.605
378	21	20	33					1.949
379	26	17	34					1.594
380	29	20	34					1.23
381	23	15	34					1.118
382	24	17	34					0.83
383	23	17.5	34					0.609
384		19	33					0.46
385	23.5	18.3		0.857251761	2.337330274	0.069182486	0.625133203	0.52
386	26.5	13.5	34	0.45992612	2.53344865	0.09660993	0.57640175	0.609
387	28.3	11	34	0.18212627	6.61638308		1.21387498	1.016
388	25.5			0.86768967	7.05001699	0.33053471	2.40520795	1.601
389	28.5	13.5	34	0.69743456	6.32002733	0.19483969	2.94348612	1.941
390	23.5	11	34	0.75950658	5.57384693	0.20614744	1.79758424	2.479
391	26.5	12.8	34		4.10791588			3.13
392	25.5	13.8		0.21565437	3.99431553	0.10142842	0.31993432	2.477
393	20.8	15.8		0.26956796	3.99431553		1.42315613	2.153
394	24.3	18	34	0.86120177	2.79666094		0.90450944	1.375
395	21.5	19.8		0.663421426	2.891279198	0.106077048	0.346832485	1.36
396	23	18.5	34	1.39859995	2.11237865		0.63125864	0.302
397	26.8	18	34	0.60610945	4.21971346			0.3
398	21.5	17.8	34	0.13728068	4.57914812		1.47610915	0.166
399	30.5	14.5	34	0.13651523	4.99604763	0.16272107	2.41098874	0.533
400	21.5	16.5	34	0.52505727	3.45161568		5.10852963	1.104
401	25.5	18.8	34	0.14743555	2.76116774			1.851
402	20.3	19.3	34	0.65253609	3.88623984	0.07189082	6.67253515	2.456
403	19.5	18.8	34	0.07227133	4.24216682		7.36478308	2.813
404			34		3.02969798		1.24992589	2.996
405	17.8		34	0.27492393	4.21989787	0.05520231		2.847
406			32	0.47109591	5.21808205	0.28624272	1.72108027	2.833
407	23	17.8	34	0.22274232	7.12065515	0.2551114	3.91188988	1.848
408	21.3	17.8	34		8.44858475		1.24735746	1.601
409	23	18	34		7.18331736	0.07581914	0.88218234	1.54
410	28.9	18.6	34	0.3042622	9.6138788	0.16589333	5.33803892	1.34
411	28.3	20	34		8.70254607	0.08373814	2.35319588	0.92
412	31.8	20	34	0.40162698	8.29204861	0.15707403	1.63700583	0.816
413	31	20.8	34	0.47165878	6.42046635	0.17623048	2.14191335	0.749
414	24.8	16.8	34	0.57099117	8.13923172	0.1207861	0.78493458	1.556
415	22.8	16	34	1.3294906	9.55889026	0.22767358	2.85282762	2.279
416	24.5	15.3	34		9.81178629			2.988
417	22.3	15.3		0.22017042	7.85634114	0.2110399	2.07571329	3.232
418	24.5	14	35	0.44662338	9.79259867	0.4957588	6.28316885	3.544
419	22	16	34		3.62048097			3.225
420	18.3	14.5	34	0.13557029	9.17461814	0.20596462	11.97060512	2.311
421	16.6	15.3	34	0.73863394	4.09706819		2.22328082	0.908
422	18.3	16	34		2.1538272		1.26792339	0.717
423	21.3	16.2	34	0.20511208	5.66787229		8.75177184	0.43
424	21.3	16.2	34	0.20511208	5.66787229		8.75177184	0.43
425	19.7	15.4	35	1.41213507	8.60383916	0.21881931	1.64276403	1.021
426	15.8	15		0.645455514	8.220016333	0.188656596	3.358025986	1.842
427	18.4	16.5	34	0.084449949	4.182439674	0.102966376	3.360362375	1.776
428	19.3	16	34	0.516553675	5.138416332	0.116435804	0.92503873	2.504
429	17	16.5	34		2.47836526			2.902
